epoch,step,loss,pos_frac
0,0,0.2573489844799042,0.25
0,1,0.2968684434890747,0.5
0,2,0.17798326909542084,0.5
0,3,0.10913795232772827,0.5
0,4,0.03687846660614014,0.25
0,5,0.37896251678466797,0.5
0,6,0.02525651454925537,0.25
0,7,0.04472789168357849,0.5
0,8,0.0,0.0
0,9,0.019528284668922424,0.25
0,10,0.03643937408924103,0.5
0,11,0.25017881393432617,0.25
0,12,0.016801953315734863,0.25
0,13,0.4283399283885956,0.5
0,14,0.0,0.0
0,15,0.014269933104515076,0.25
0,16,0.797804057598114,1.0
0,17,0.013287484645843506,0.25
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.2374936193227768,0.0
0,21,0.7717397212982178,0.75
0,22,0.4062270224094391,0.5
0,23,0.014007225632667542,0.25
0,24,0.3715841770172119,0.5
0,25,0.015077099204063416,0.25
0,26,0.0,0.0
0,27,0.015381351113319397,0.25
0,28,0.01637960970401764,0.25
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.24925339221954346,0.25
0,34,0.0,0.0
0,35,0.3918614685535431,0.5
0,36,0.016654357314109802,0.25
0,37,0.2334079146385193,0.0
0,38,0.016557425260543823,0.25
0,39,0.0,0.0
0,40,0.36723238229751587,0.25
0,41,0.2492898553609848,0.25
0,42,0.035195156931877136,0.5
0,43,0.0,0.0
0,44,0.3619508445262909,0.25
0,45,0.0,0.0
0,46,0.018571913242340088,0.25
0,47,0.019805297255516052,0.25
0,48,0.019283846020698547,0.25
0,49,0.35235023498535156,0.25
0,50,0.018638551235198975,0.25
0,51,0.0,0.0
0,52,0.037226349115371704,0.5
0,53,0.01777207851409912,0.25
0,54,0.23092305660247803,0.0
0,55,0.0,0.0
0,56,0.015137404203414917,0.25
0,57,0.24829018115997314,0.25
0,58,0.0,0.0
0,59,0.014191746711730957,0.25
0,60,0.0,0.0
0,61,0.013705790042877197,0.25
0,62,0.025778964161872864,0.5
0,63,0.0,0.0
0,64,0.3730734586715698,0.5
0,65,0.009871870279312134,0.25
0,66,0.017895758152008057,0.5
0,67,0.009453237056732178,0.25
0,68,0.015324413776397705,0.5
0,69,0.007042631506919861,0.25
0,70,0.019236668944358826,0.75
0,71,0.2538074254989624,0.5
0,72,0.0,0.0
0,73,0.381672739982605,0.25
0,74,0.3824288845062256,0.5
0,75,0.0,0.0
0,76,0.006193071603775024,0.5
0,77,0.0,0.0
0,78,0.009234786033630371,0.75
0,79,0.00304529070854187,0.25
0,80,0.0030301958322525024,0.25
0,81,0.0032299309968948364,0.25
0,82,0.003135189414024353,0.25
0,83,0.4193301498889923,0.75
0,84,0.0026516318321228027,0.25
0,85,0.24991148710250854,0.25
0,86,0.25182193517684937,0.5
0,87,0.004414498805999756,0.5
0,88,0.0018536001443862915,0.25
0,89,0.0018436610698699951,0.25
0,90,0.0031907111406326294,0.5
0,91,0.00312139093875885,0.5
0,92,0.3743540048599243,0.25
0,93,0.3723321855068207,0.25
0,94,0.0,0.0
0,95,0.3661423921585083,0.25
0,96,0.0,0.0
0,97,0.003286197781562805,0.25
0,98,0.003491818904876709,0.25
0,99,0.0,0.0
0,100,0.00483134388923645,0.25
